Areas,Thickness,Width
59.5,2.5,20.0
54.5,2.5,22.0
62.0,2.5,25.0
,2.8,0.9
,2.8,1.6
,2.8,1.8
,2.8,2.0
,2.8,2.2
,2.8,2.5
7.28,2.8,2.8
,2.8,3.0
8.41,2.8,3.2
9.25,2.8,3.5
10.1,2.8,3.8
10.7,2.8,4.0
12.1,2.8,4.5
13.5,2.8,5.0
14.9,2.8,5.5
16.3,2.8,6.0
17.7,2.8,6.5
19.1,2.8,7.0
20.5,2.8,7.5
23.5,2.8,8.0
24.7,2.8,9.0
,2.2,1.0
,2.2,1.2
,2.2,1.4
,2.8,1.0
,2.8,1.2
,2.8,1.4
27.5,2.8,10.0
30.3,2.8,11.0
33.1,2.8,12.0
35.9,2.8,13.0
38.7,2.8,14.0
41.5,2.8,15.0
44.3,2.8,16.0
49.9,2.8,19.0
55.5,2.8,20.0
61.1,2.8,22.0
69.5,2.8,25.0
,3.0,0.9
,3.0,1.0
,3.0,1.2
,3.0,1.4
,3.0,1.6
,3.0,1.8
,3.0,2.0
,3.0,2.2
,3.0,2.5
,3.0,2.8
8.44,3.0,3.0
,3.0,3.2
9.95,3.0,3.5
10.9,3.0,3.8
11.5,3.0,4.0
13.0,3.0,4.5
14.5,3.0,5.0
16.0,3.0,5.5
17.5,3.0,6.0
19.0,3.0,6.5
20.5,3.0,7.0
22.0,3.0,7.5
24.7,3.0,8.0
26.5,3.0,9.0
29.5,3.0,10.0
32.5,3.0,11.0
35.5,3.0,12.0
38.5,3.0,13.0
41.5,3.0,14.0
44.5,3.0,15.0
47.5,3.0,16.0
53.5,3.0,19.0
59.5,3.0,20.0
65.0,3.0,22.0
74.0,3.0,25.0
,3.2,0.9
,3.2,1.0
,3.2,1.2
,3.2,1.4
,3.2,1.6
,3.2,1.8
,3.2,2.0
,3.2,2.2
,3.2,2.5
,3.2,2.8
,3.2,3.0
9.68,3.2,3.2
,3.2,3.5
11.6,3.2,3.8
12.3,3.2,4.0
13.9,3.2,4.5
15.5,3.2,5.0
16.7,3.2,5.5
18.3,3.2,6.0
19.9,3.2,6.5
21.5,3.2,7.0
23.1,3.2,7.5
27.1,3.2,8.0
27.9,3.2,9.0
31.1,3.2,10.0
34.3,3.2,11.0
37.5,3.2,12.0
40.7,3.2,13.0
43.9,3.2,14.0
47.1,3.2,15.0
50.3,3.2,16.0
56.7,3.2,19.0
63.1,3.2,20.0
69.5,3.2,22.0
79.1,3.2,25.0
,3.5,0.9
,3.5,1.0
,3.5,1.2
,3.5,1.4
,3.5,1.6
,3.5,1.8
,3.5,2.0
,3.5,2.2
,3.5,2.5
,3.5,2.8
,3.5,3.0
,3.5,3.2
11.69,3.5,3.5
,3.5,3.8
13.5,3.5,4.0
15.2,3.5,4.5
16.6,3.5,5.0
18.4,3.5,5.5
20.1,3.5,6.0
21.9,3.5,6.5
23.6,3.5,7.0
25.4,3.5,7.5
27.1,3.5,8.0
30.6,3.5,9.0
34.1,3.5,10.0
37.6,3.5,11.0
44.1,3.5,12.0
44.6,3.5,13.0
48.1,3.5,14.0
51.6,3.5,15.0
55.1,3.5,16.0
62.1,3.5,19.0
69.1,3.5,20.0
76.1,3.5,22.0
86.6,3.5,25.0
,3.8,0.9
,3.8,1.6
,3.8,1.8
,3.8,2.0
,3.8,2.2
,3.8,2.5
,3.8,2.8
,3.8,3.0
,3.8,3.2
,3.8,3.5
13.88,3.8,3.8
,3.8,4.0
,3.8,4.5
,3.8,5.0
,3.8,5.5
,3.8,6.0
,3.8,6.5
,3.8,7.0
,3.8,7.5
,3.8,8.0
,3.8,9.0
,3.8,10.0
,3.8,11.0
,3.8,12.0
,3.8,13.0
,3.8,14.0
,3.8,15.0
,3.8,16.0
,3.8,19.0
,3.8,20.0
,3.8,22.0
,3.8,25.0
,4.0,0.9
,4.0,1.0
,4.0,1.2
,4.0,1.4
,4.0,1.6
,4.0,1.8
,4.0,2.0
,4.0,2.2
,4.0,2.5
,4.0,2.8
,4.0,3.0
,4.0,3.2
,4.0,3.5
,4.0,3.8
15.44,4.0,4.0
17.1,4.0,4.5
19.1,4.0,5.0
21.1,4.0,5.5
23.1,4.0,6.0
25.1,4.0,6.5
27.1,4.0,7.0
29.1,4.0,7.5
31.1,4.0,8.0
35.1,4.0,9.0
39.1,4.0,10.0
43.1,4.0,11.0
47.1,4.0,12.0
51.1,4.0,13.0
55.1,4.0,14.0
59.1,4.0,15.0
,3.8,1.0
,3.8,1.2
,3.8,1.4
63.1,4.0,16.0
71.1,4.0,19.0
79.1,4.0,20.0
87.1,4.0,22.0
99.1,4.0,25.0
,4.5,0.9
,4.5,1.6
,4.5,1.8
,4.5,2.0
,4.5,2.2
,4.5,2.5
,4.5,2.8
,4.5,3.0
,4.5,3.2
,4.5,3.5
,4.5,3.8
,4.5,4.0
19.39,4.5,4.5
21.6,4.5,5.0
23.9,4.5,5.5
26.1,4.5,6.0
28.4,4.5,6.5
30.6,4.5,7.0
32.9,4.5,7.5
35.1,4.5,8.0
39.6,4.5,9.0
44.1,4.5,10.0
48.6,4.5,11.0
53.1,4.5,12.0
5
